Date,Prediction Using KNN Regression
8/11/2014,0.804261726
8/12/2014,0.192299535
8/13/2014,-0.151367218
8/14/2014,-0.009221939
8/15/2014,0.420764906
8/18/2014,-0.982523551
8/19/2014,0.075146207
8/20/2014,-0.50934714
8/21/2014,1.543339821
8/22/2014,-0.964998923
8/25/2014,2.150942649
8/26/2014,-0.748086625
8/27/2014,2.065551651
8/28/2014,-0.970523167
8/29/2014,0.612555621
9/2/2014,-0.918800952
9/3/2014,0.124363792
9/4/2014,-0.909311808
9/5/2014,0.373028931
9/8/2014,-0.21141834
9/9/2014,-0.533517815
9/10/2014,0.103855465
9/11/2014,-1.155101698
9/12/2014,-0.816219773
9/15/2014,0.089370809
9/16/2014,1.068569679
9/17/2014,0.212201226
9/18/2014,-0.786914574
9/19/2014,-0.084668529
9/22/2014,-0.769744066
9/23/2014,1.015516616
9/24/2014,1.044086546
9/25/2014,-0.104330802
9/26/2014,0.083953774
9/29/2014,0.788303325
9/30/2014,-0.780272189
10/1/2014,-0.529193818
10/2/2014,-0.510492437
10/3/2014,0.893621339
10/6/2014,-0.061578399
10/7/2014,0.842998452
10/8/2014,-0.068985297
10/9/2014,0.962115144
10/10/2014,-1.04373491
10/14/2014,1.037180781
10/15/2014,0.393770469
10/16/2014,2.248165067
10/17/2014,-0.719662981
10/20/2014,0.234860892
10/21/2014,-0.199345077
